название;ссылка;цена;адрес;описание
2-комн. кв., 68 м, 6/9 этаж;https://krym.cian.ru/sale/flat/247447917/;6 800 000 ;Республика КрымЯлтаулица Майора Савельева3;"ID 1596
ВНИМАНИЕ!!!
Продается 2-к квартира 68 м2 с ремонтом и всей необходимой техникой с видом на море и горы!!!
квартира расположена на 6 этаже 9-и этажного здания серии 135 ЮБК
один застекленный балкон, индивидуальное отопление
ИЗ МЕБЕЛИ И ТЕХНИКИ:
Новая встроенная кухня
два кондиционера
ортопедический диван и раздвижное кресло
Два шкафа купе
кабельное телевидение, интернет и WI FI
есть место для парковки машины
ЦЕНА 6.800.000 рублей!!!
ЗВОНИТЕ СЕЙЧАС!!!"
4-комн. кв., 96 м, 8/9 этаж;https://krym.cian.ru/sale/flat/24511420/;6 999 999 ;Республика КрымЯлтаулица Красных Партизан26;"Собственник. Продам Свою 4-х комнатную кв-ру в Ялте 135 серии ЮБК. Квартира видовая, двухсторонняя , 2 комнаты на одну сторону, 2комнаты-на другую, состояние квартиры жилое среднее,под ремлнт.3 комнаты раздельные, 1 смежная, 2 большие лоджии, 1 балкон.Техническая характеристика квартиры:
Кв-ра расположена на лучшем 8м этаже  9ти этажного
состоит из 4х комнат жилой площадью 52,9 кв.метра,
в т.ч:
1-я комната 9,5 кв.метра,
2-я комната 12,6 кв.метра,
3-я комната 17,8 кв.метра,
4-я комната 13 кв.метров,
кухня 9,4 кв.метра,
уборная 1,1 кв.метра,
ванная комната 2,7 кв.метра,
коридор 8,3 кв.метра,
прихожая 4,5 кв.метра,
встроенный шкаф 0,5 кв.метра,
Квартира оборудована балконом  3,6 кв.метра,
лоджией  6,0 кв.метра,
лоджией 6,8 кв.метра.
Общая площадь квартиры 79,4 кв.метра без лоджий и балкона,а с ними 96 кв.метров.
Подъезд с кодовым замком домофон, двойная металлическая дверь, бойлер, счетчики, в 3х комнатах паркет, деревянные стеклопакеты, великолепный вид на горы Ай-Петри, плато Ай-Петри, водопад Учан-Су, Поляну Сказок, Зоопарк(видно на фото), рядом с домом хорошая транспортная развязка, рынок, супермаркеты, школы, детсад, объездная дорога Ялта-Севастополь-Симферополь.

ДЕТАЛИ:
Отдельная квартира улучшенной планировки 135 серия ЮБК, дом в эксплуатации с 1987 года - типовая панель, в квартире 4 комнаты. Квартира двухсторонняя видовая. Планировка комнат смежно-раздельная. Есть газ. Холодная вода водопровод, горячая вода - бойлер. Центральное отопление. Раздельный санузел, туалет/ванна. Сантехника в нормальном состоянии. Проведены трубы, в нормальном среднем  состоянии. Входная дверь двойная бронированная. Покрытие полов - паркет, линолеум, подогрева полов нет. Есть 1 балкон застеклён. Есть 2 лоджии застеклены. Состояние стен - беловые работы, потолок эмульсия. Окна деревянные, в среднем удовлетворительном состоянии. Межкомнатные двери типовые, в нормальном состоянии. В квартире есть кабельное ТВ, интернет, счетчики. Дом построен-сдан в эксплуатацию в 1987 году. У квартиры 1собственник. Общее состояние квартиры - жилое среднее,под ремонт.Рядом с домом есть автопарковка,так же рядом есть рынок,школы, детсад,медучилище, остановки городского транспорта, развлекательные заведения, супермаркеты, лес.Из окон квартиры открывается великолепный вид на горы:Ай-Петри, Водопад Учан-су, Поляну Сказок, Зоопарк.
Квартира приватизированная в собственности более 3х лет. Документы на квартиру РФ.
Прямая продажа от собственника.Цена 6 999 999 руб. или в долларах/евро по курсу. Интересуют реальные покупатели с наличными.Агентов, посредников, помощников-просьба НЕ БЕСПОКОИТЬ."
2-комн. кв., 60 м, 4/5 этаж;https://krym.cian.ru/sale/flat/245315556/;6 000 000 ;Республика КрымЯлтаулица Тимирязева31;"Продается квартира, 4 этаж пятиэтажного дома, южная сторона. Есть балкон и лоджия.
Квартира видовая, светлая. С лоджии и кухни открывается вид на город и горы. Сделан ремонт, без перепланировок.
В подъезде общий балкон на две квартиры 10 м., где можно хранить вещи.
Расположена в тихом месте, в 5 минутах от супермаркета, детского сада, аптеки, остановок общественного транспорта, до центра 15 мин. Удобный выезд на трассу.

Документы готовы к сделке. Возможна ипотека."
4-комн. кв., 82,8 м, 10/16 этаж;https://krym.cian.ru/sale/flat/232648581/;7 000 000 ;Республика КрымЯлтаулица Кривошты11;"ВОЗМОЖНА    ИПОТЕКА !!!!!!
ДОКУМЕНТЫ ГОТОВЫ К СДЕЛКЕ!!!!!!!
  Предлагается к покупке видовая четырехкомнатная квартира в Ялте, на улице Кривошты, ровная часть города.
  Квартира расположена на 10-м этаже шестнадцатиэтажного дома. Из окон квартиры открывается хороший вид на город Ялта, горы и море. 
  Квартира общей площадью 82,8 м2. Кухня в квартире площадью  7,8 м2 ( есть возможность увеличения кухни за счет прилегающей лоджии и комнаты площадью 11,8 ). Санузел раздельный, в ванной установлен бойлер для подачи горячей воды. Дом газифицированный. Отопление центральное ( в районе своя мини котельная ). 
  Квартира под ремонт.
  Дом, в котором расположена квартира, находится в хорошем районе города Ялта ( район Автовокзала города Ялта ), в ровной его части. Район с хорошо развитой инфраструктурой, рядом есть все для комфортной жизни. В шаговой доступности находятся продуктовые и промышленные магазины, овощные лавки, мини рынок, аптека, супермаркеты, стоматология. В пешей доступности детские сады, общеобразовательные школы, медколледж. Дорога до Центра Ялты и Набережной займет не более 15 минут пешком и не более 5 минут на авто. Рядом с домом есть остановка общественного транспорта, откуда бесперебойно ездят маршрутки.
ЦЕНА  8 300 000 рублей ( ВОЗМОЖЕН ТОРГ!!! )"
2-комн. кв., 66 м, 10/11 этаж;https://krym.cian.ru/sale/flat/248365084/;6 900 000 ;Республика КрымЯлтаулица Свердлова48Ак6;"Комнат : 1-2
Площадь : 66.7 м2
Вид из квартиры:
Экспликация помещений:
Жилая комната	51.9 м2
Санузел	5.3 м2
Подсобное помещение	2.6 м2
Лоджия	6.9 м2
Техническая характеристика квартир :
Надежная система безопасности:
Датчик дыма в квартирах и на лестничных площадках;
Автоматические отсекатели газа;
Шахта дымоудаления.
Коммуникации:
Электричество, газ, вода, канализация подведены к квартире;
Телевидение, телефонизация, радиофикация;
На все коммуникации установлены счетчики.
Отопление от Vaillant (Германия):
Индивидуальное отопление в каждой квартире;
Независимость от отопительного сезона;
Возможность сделать теплые полы.
Окна и балконные двери из немецкого профиля Rehau ( Германия):
Гарантия на профиль 50 лет;
Окна сконструированы с учетом ветровых нагрузок;
Конструкция эффективного проветривания.
Металлопластиковые трубы Rehau ( Германия):
Гарантия 10 лет.
Планировка квартир:
Возможность свободной планировки ( мало несущих конструкций в стенах).
Панорамный вид дарит возможность смотреть на Ялту, как в амфитеатре:
Со второго этажа вид на море;
Вид на горы;
Ночная Ялта."
2-комн. кв., 80,8 м, 8/18 этаж;https://krym.cian.ru/sale/flat/246692361/;6 465 000 ;Республика КрымЯлтаулица Блюхера19;"Арт. 44132503 Продается квартира в ЖК ""Алмаз"" Свободной планировки, общая площадь 80.8 кв.м. В доме есть 2 лифта грузовой и пассажирский, система пожарной сигнализации, круглосуточная охрана .А так же на первом этаже находятся:
- частный детский сад
- детская спортивная секция
- тренажерный зал
- детская медицинская клиника
- офтальмологическая клиника
- продуктовый магазин
- предусмотрен детский бассейн
На огороженной ухоженной придомовой территории паркинг, открытая парковка, детская игровая площадка.
Развитая инфраструктура. В 10 -15 минутах ходьбы набережная, продуктовая база, школа, детский сад, парки."
2-комн. кв., 75 м, 2/4 этаж;https://krym.cian.ru/sale/flat/231405610/;6 300 000 ;Республика КрымЯлтаулица Тимирязева14;Продaм Евро 2-x кoмн. кваpтиpу в отдельно стoящем дoме без пpoписки. Апapтaмeнты c евроремoнтoм, мeбелью и тexникoй. Bид нa моpе, cпокoйный paйoн, pядoм большой cупермaркeт, ocтановкa oбщeствeнного тpанcпoртa. B пeшeй дocтупноcти oт глaвных тpанcпоpтныx развязок. Имеется свой двор. Есть возможность обустроить место для парковки авто, либо приобрести кап. гараж за доп.плату. Хорошо подойдёт для сдачи внаём. Рассмотрю вариант рассрочки, обмена на недвижимость или участок в Ялте, Москва (направление Химки), или на авто. Цена за кв.м 95.000 рублей. Реальному покупателю торг!
3-комн. кв., 112 м, 9/9 этаж;https://krym.cian.ru/sale/flat/221941940/;8 900 000 ;Республика КрымЯлтаулица Красных Партизан9А;Продается шикарная трехкомнатная квартира в новостройке. Панорамные виды на море и горы. Три лоджии. Дом находится в экологически чистом спальном районе. Рядом вся инфраструктура магазины, рынок, остановка транспорта.
2-комн. кв., 55 м, 1/5 этаж;https://krym.cian.ru/sale/flat/247630638/;7 500 000 ;Республика КрымЯлтаулица Московская49;Продажа объекта недвижимости подходящего   как для проживания так и для ведения  коммерческой деятельности.  2 - ком. квартира  расположена на 1  этаже дома.   ИМЕЕТ  СВОЙ ОТДЕЛЬНЫЙ ВХОД!!. Выполнен очень качественный ремонт в классическом стиле. Большим преимущество квартиры является АВТОНОМНОЕ ГАЗОВОЕ ОТОПЛЕНИЕ. Это позволяет значительно экономить средства в зимний отопительный период.   Стоит обратить внимание на полностью облагороженную и выложенную плиткой   территорию возле квартиры.  В квартире хорошая кухня. 2 отдельные спальни и   хороший сан. узел.
3-комн. кв., 81,4 м, 4/6 этаж;https://krym.cian.ru/sale/flat/242950360/;8 500 000 ;Республика КрымЯлтаулица Ворошилова6;Предлагаем к продаже просторную 3-комнатную квартиру удобной планировки в спальном районе города Ялта. В квартире выполнен современный качественный ремонт. Полностью новая проводка и все коммуникации, в квартире удобно разделены спальные зоны и зона кухни-столовой. Уютная кухня оснащена всей необходимой новой техникой. Две отдельных спальных комнаты, просторная гостиная с балконом, гардеробная-кладовая отдельная постирочная-бойлерная, ванная комната. Рядом находится удобная транспортная развязка, в 5 минутах самый большой торговый центр в городе, 15 минут пешком до центральной Набережной!
3-комн. кв., 90 м, 13/16 этаж;https://krym.cian.ru/sale/flat/224790177/;9 000 000 ;Республика КрымЯлтаулица Ленинградская5;Квартира с видом на море и горы. В квартире всегда отличный воздух за счет расположения квартиры между горным массивом и морем потоки морского и горного воздуха смешиваются. 3 изолированные комнаты, длинный болкон, с выходом в каждую комнату. Отвечу на все вопросы
1-комн. кв., 51,25 м, 5/8 этаж;https://krym.cian.ru/sale/flat/229250952/;6 918 750 ;Республика КрымЯлта городской округВосход пгтулица Наташинская;"Недвижимость в Крыму. Квартира в Ялте. Продается квартира в новом роскошном строящемся жилом комплексе бизнес-класса, с шикарным видом на Черное море, Ялту, парк и горы, в 10 мин езды от центра Ялты, в 1000км от моря, в экологически чистом районе Массандры, на Южном берегу Крыма, между Никитским ботаническим и Массандровскими парками, в эксклюзивном поселке, рядом с знаменитым Ботаническим садом, элитными виллами и жилыми комплексами премиум класса! Третий парк, с прогулочными аллеями и открытыми террасами для тихого отдыха, будет расположен на территории комплекса. До моря всего 1км. Здесь самые чистые пляжи и море!
Видовая просторная 1-комнатная квартира на 5 этаже, в свободной планировке, общей площадью 51,25м2. Кухня-столовая 19,62м2, спальня 20,29м2, санузел 4,77м2, прихожая 4,62м2, балкон 1,95м2. В квартире будут установлены бронированные двери, большие окна, с великолепным видом на море, все счетчики. В доме все коммуникации: водоснабжение, система резервного водоснабжения, электроэнергия (своя электрическая подстанция), городская канализация, мусоропровод. Отопление индивидуальное, от двухконтурных газовых котлов., центральное и спутниковое ТВ и скоростной интернет; 3 бесшумных скоростных лифта и 4 пожарные лестницы. Высота потолков 3 метра.
Жилой комплекс представляет собой 8-ми этажное монолитное железобетонное домостроение, которое возводится по современным технологиям и является очень надежным и безопасным жилищем. Инфраструктура комплекса с очень широким спектром услуг для комфортной жизни и отдыха круглый год: детские и спортивные площадки, СПА-центр, фитнес-центр, бассейн, детская комната творчества, кабинет врача-терапевта, велопрокат, открытая и закрытая парковки, магазины, зона барбекю, закрытая территория, контроль-доступа, служба ресепшн, круглосуточная охрана, видеонаблюдение, управляющая компания. Можно приобрести личное парковочное место.
Строительство жилого комплекса ведется в строгом соответствии законодательству. Безопасность сделки и надежность застройщика гарантируются ФЗ-214."
3-комн. кв., 85 м, 9/10 этаж;https://krym.cian.ru/sale/flat/224534604/;7 900 000 ;Республика КрымЯлтаулица Блюхера58;Продам просторную, светлую квартиру на Блюхера.  Подъезд и лифт очень чистые. Просторная трешка с балконом. Дизайнерский ремонт. В квартире два сан узла. Все сделано со вкусом.  Вся  мебель и  техника остается! Из балкона чудеснейший вид на горы. Остановка мт прямо под домом!
3-комн. кв., 80 м, 10/18 этаж;https://krym.cian.ru/sale/flat/246873086/;6 550 000 ;Республика КрымЯлтаулица Блюхера19;"ИПОТЕКА!!!
Предлагаем купить 3-комнатную квартиру в Ялте.
Новый ЖК Алмаз, сдан в 2016г.
До Набережной  и благоустроенных пляжей 15 минут пешим ходом.
На  территории  Жилого комплекса  большой двор, детская площадка, большая парковка, спортзал, медцентр, салон красоты, супермаркет.
Рядом с домом остановка общественного транспорта, торговые ряды Промбаза, Стоматология, аптека.
С квартиры открывается панорамный вид на море и горы.
Квартира расположена на 5,7,8,11, 18 этаже  18 этажного дома.
Площадь квартиры 80,4 кв.м.  
Квартира с чистовой отделкой
Документы РФ. Готовы к сделке. ИПОТЕКА!!!
Цена 6 550 000 руб."
3-комн. кв., 60 м, 5/5 этаж;https://krym.cian.ru/sale/flat/241535892/;7 500 000 ;Республика КрымЯлтаулица Московская47;"ВОЗМОЖНА ИПОТЕКА!!!!!
   Продается отличная трехкомнатная квартира в центральной части города Ялта на улице Московской. Квартира расположена на пятом этаже пятиэтажного дома.
  Квартира общей площадью 60 м2. Кухня была увеличена за счет коридора, вход перенесли через комнату(гостиную), на горячую воду установлена газовая колонка. В квартире две отдельные спальни. Есть балкон, но его оставили не застекленным. Санузел в квартире совмещенный. Отопление центральное. Окна и балкон в квартире выходят во двор, поэтому в квартире тихо, не смотря на то что рядом основная улица города Ялта.
   Квартира в очень хорошем состоянии, ремонт был выполнен более 10 лет назад, но использовались только качественные материалы, которые по истечению этих лет не потеряли вид. После продажи в квартире все остается как есть, прежние хозяева заберут только предметы интерьера и журнальный столик, все остальное остается новым собственникам.
   Дом, в котором расположена квартира, находится на центральной улице города Ялта, Московской. Вся инфраструктура рядом с домом. В пешей доступности, остановки общественного транспорта, Центральные рынки города, торговые центры города Ялта, детские сады, общеобразовательные школы ( 10 в двух минутах ходьбы от дома), городские пляжи, Набережная города Ялты."
1-комн. кв., 55,4 м, 1/7 этаж;https://krym.cian.ru/sale/flat/214588772/;9 141 000 ;Республика КрымЯлтаулица Войкова20;"Продаётся видовая студия  в ЖК Аквамарин общей площадью 55,4 кв.м

ЖК Аквамарин  это новый сданный в эксплуатацию комплекс комфорт  класса в самом сердце Ялты. Главной его особенностью является месторасположение и завораживающий вид на море и Ялту .Комплекс находится одновременно в центре города и на границе с парком. Благодаря тому, что жилой комплекс расположен на возвышенности, из окон квартир открывается панорамный вид на Чёрное море, великолепную Ялту и зеленый парк!
Экологически чистый район сочетает в себе смесь морского и хвойного, насыщенного фитонцидами, воздуха! В отделке дома использовался природный камень, что позволило не только гармонично вписать комплекс в окружающий пейзаж, но и обеспечило прочность и устойчивость облицовки фасада в условиях климатических перепадов температур и влажности. Площадь квартир от 41,6 до 350 м.кв., в квартирах балконы и просторные террасы, панорамное остеклением в пол, потолки высотой 3.3 м., свободная планировка .

Придомовая территория огорожена и охраняется, ведётся круглосуточное видеонаблюдение, зона отдыха и детская игровая площадка, открытая и закрытая парковка.

Всего 5 минут пешим шагом  и Вы на Набережной Ялты!"
1-комн. апарт., 40,3 м, 1/4 этаж;https://krym.cian.ru/sale/flat/246817092/;9 000 000 ;Республика КрымЯлтанабережная Имени В.И. Ленина13;"Выставлены на продажу апартаменты в уникальном историческом здании Ялты Президент-отеля Таврида. Апартаменты общей площадью 40,3 кв.м включают в себя холл, спальню, кухню-столовую и санузел. Находятся на первом этаже четырёхэтажного здания. Добротные интерьер и мебель. Окна апартаментов смотрят в парк. Высота потолков 4 метра.
Отопление апартаментов  автономная газовая котельная здания.

Отель Таврида  одно из уникальных городских строений, являющееся историко-архитектурным памятником города, некогда входившим в число лучших гранд-отелей Европы (бывшая гостиница Россия, была в своё время самой фешенебельной в городе). Отель был построен в 1875 году по проекту архитектора А.К. Винберга под руководством А.Е. Струве и А.Л. Врангеля.
С открытием в 1873 году железной дороги, соединившей Севастополь и Симферополь с центральной частью России, город Ялта и весь Южный берег Крыма стал модным курортом русской аристократии. Отель посещали выдающиеся деятели науки и культуры: Шаляпин, Бунин, Боткин, Римский-Корсаков, Немирович-Данченко, Станиславский, Чехов, Маяковский, Некрасов, Мусоргский, Щепкин и многие другие. Сегодня у вас есть возможность стать собственником апартаментов в этом уникальном отеле.

В 2005 году Президент-отель Таврида был отреставрирован, сохранив при этом исторический колорит здания. Фасад отеля украшен чудесными колоннами, роскошными просторными террасами и верандами. Все апартаменты гостиницы являются частными, на первом этаже расположены салон красоты, массажный кабинет, стоматологическая клиника и другие виды услуг.
Обновлённый Президент-отель Таврида  это венецианские дворики (атриумы) с мраморными фонтанами, роскошный фасад с колоннами, прозрачный свод кровли, стены толщиной 1,2 м, потолки высотой до 4 м, просторные террасы и веранды, мансарда со стеклянными фонарями, мраморные лестницы с кованым ограждением и уникальные скульптуры.

Локация отеля идеальна. Рядом с отелем расположены:
 В 50 м прогулочная набережная Ялты, причал для яхт, где вы можете взять в аренду яхту, либо совершить прогулку в другие уголки Южного берега на теплоходе;
 Здание отеля, как и вся центральная часть города, расположены у подножия холма Дарсан. На вершину холма можно подняться на канатной дороге, с которой открывается вид на всю Ялту и море. Нижняя станция канатной дороги расположена прямо около входа в отель. На холме разместился ресторан и смотровая площадка.
 Кофейни, кафе и рестораны в шаговой доступности;
 Городской пляж (бесплатный) рядом. Также в 10 минутах ходьбы расположен Массандровский пляж с лучшей инфраструктурой и зоной для променада на всём полуострове.
Покупка апартаментов в Президент-отеле Таврида  это не только статус, но и надежная инвестиция в будущее!

Обращаю внимание клиентов, что наше агентство не берет комиссию с покупателей и продаёт объекты по ценам собственников."
3-комн. кв., 80 м, 6/9 этаж;https://krym.cian.ru/sale/flat/247977270/;8 500 000 ;Республика КрымЯлтаулица Крупской50к1;Продаю свою квартиру!!!
2-комн. кв., 68 м, 6/9 этаж;https://krym.cian.ru/sale/flat/209809074/;6 800 000 ;Республика КрымЯлтаулица Дзержинского;"Предлагается к  продаже 2-х комнатная квартира - 6/9 эт.дома.
 ОП-68 м2, улучшенной планировки -  с ремонтом.
  Раздельные комнаты - 17/12 м2.
  Большая кухня - 9 м2,  лоджия - великолепный вид на город и горы. 
 Дом 2003 года постройки, газифицирован.
 Район Автовокзала. 
 Удобная инфраструктура.
 Цена 6 800 000 р."
3-комн. кв., 125 м, 2/5 этаж;https://krym.cian.ru/sale/flat/247649690/;9 510 013 ;Республика КрымЯлтаулица Радужная2;"Предлагаем Вашему вниманию, просторную квартиру с тремя спальнями, потрясающим видом из всех окон, общей площадью 125, 1 м. кв. Площадь квартиры - 92, 7 м. кв. плюс площадь балкона 32, 7 м. кв. Высота потолков 3, 30 м. Квартира без ремонта, свободной планировки. К квартиру заведены газ, вода, электроэнергия. 
Особое внимание хотелось бы обратить на видовой дом, бизнес класса, являющийся одним из самых красивых в Ялте. Монолит, фасады утеплены и оштукатурены, трех камерные стеклопакеты REHAU. Удачное расположение дома позволяет любоваться видом на море и горы, и открывающимся видом на вечернюю Ялту. 
Вы не найдете в Ялте достойной альтернативы оригинальной архитектуре фасадов и просторной светлой парадной, с высокими натяжными потолками, стены которой облицованы итальянской плиткой. Дополнительный комфорт обеспечивает паркинг под домом, огороженная территория с ландшафтным дизайном. 
Дополнительным преимуществом является приемлемая цена на 30% дешевле подобных объектов. Статус жилых квартир. Прописка.
Покупайте квартиру и каждый день наслаждайтесь видом на море"
Студия, 36,6 м, 11/16 этаж;https://krym.cian.ru/sale/flat/240747325/;6 300 123 ;Республика КрымЯлтаулица Ломоносова25;"Студия в г.Ялта в Пapк-oтелe ""CОЛЯРИC""!!!
Пapк-отeль Соляриc, распoложeн в Ялте нa oхpаняeмoй тeppитоpии в 1.3 гектаpa земли. B инфрacтруктуpу дома вxодит: oткpытый баcсейн, прoгулoчные зоны, детcкая площадка, автостоянка. В парковой зоне дома высажено более 1000 вечнозелёных растений.
Вблизи комплекса находится Пионерский парк, стадион Авангард, рынок, супермаркет, прогулочные зоны, удобная транспортная развязка. До Набережной им. Ленина, моря и пляжа 12 минут ходьбы."
3-комн. кв., 80 м, 2/9 этаж;https://krym.cian.ru/sale/flat/238685750/;8 349 561 ;Республика КрымЯлтаулица Горького34;Предлагаем купить 3 комнатную квартиру с тремя лоджиями в незабываемом крымском курорте Ялта. Квартира общей площадью 80 кв. метра, расположена на 2 этаже 9 этажного комплекса, который находится в жилом тихом районе. Квартира с хорошим ремонтом готова полностью к проживанию. Квартира пригодна и к постоянному проживанию, и к сезонному отдыху. В шаговой доступности вся инфраструктура города.
4-комн. кв., 88,2 м, 10/16 этаж;https://krym.cian.ru/sale/flat/247641398/;6 050 000 ;Республика КрымЯлтаулица Кривошты11;Продам в Ялте 4-х комнатную квартиру в тихом спальном районе по улице Кривошты. Дом 1973 г. Квартира расположена на 10-м этаже 16-ти этажного дома. Общая площадь + лоджия - 88,2 (75,2) м2/жилая  50,3 м2 (17,6 + 12,1 + 11,8 + 8,8). Три изолированные комнаты и гостиная. Санузел раздельный. Кухня 7,8 м2. Огромная лоджия 13 м2. Квартира супервидовая, юго-восточная сторона. Все коммуникации, горячая вода  бойлер. Отопление центральное. Стиральная машинка  автомат, интернет, Wi-Fi. Состояние квартиры жилое, но требует косметического ремонта. Квартира очень сдаваемая и может использоваться в коммерческих целях. Развитая инфраструктура: магазины, аптеки, рынок, почта, собес и пр. Остановки общественного транспорта, маршрутки, недалеко автовокзал. Цена квартиры 95 000 $ или в рублях по курсу. Просьба посредников по этому объекту пока не беспокоить.
2-комн. апарт., 85 м, 10/13 этаж;https://krym.cian.ru/sale/flat/236572011/;8 540 000 ;Республика КрымЯлтаулица Коммунаров12;"В живописном месте Ялты, известному всему миру Ливадии расположен элитный комплекс ""Подкова"" в соседстве с санаторием ""Россия"", пляжем дельфин, в трестах метрах от моря. Потрясающие виды из окна на ""Ливадийский Дворец"" и его парк, парк СОК ""Россия"", горы, море. В шаговой доступности оздоровительные комплексы, бассейн с морской водой 50м длиной, СПА, школы, садики, магазины и т. д. До набережной Ялты пешком 10 минут. Очень удобная планировка с двумя санузлами, видовым балконом 10м2, высота потолков 3,3 м.  В комплексе 2-х уровневый паркинг на 90 машин, спортивная площадка, благоустроенная придомовая территория дома с парком.  Апартамент расположен в западной части комплекса. Цена ниже, чем у застройщика!!!"
3-комн. кв., 77,2 м, 5/5 этаж;https://krym.cian.ru/sale/flat/227072428/;7 708 816 ;Республика КрымЯлтаулица Радужная2;Предлагаем вашему вниманию просторную квартиру оп 77, 2 м2 + два балкона по 2 м2, в построенном и сданном доме бизнес класса. В квартиру заведена вода, электроэнергия. Высота потолком 3, 5 метра. Огромный эркер с панорамными окнами на всю стену, с прекрасным видом на море и всю Ялту. Перекрытия монолитные. Есть возможность увеличить площадь в два раза, сделав свой выход на эксплуатируемый чердак, где высота потолков 3 метра. Чистовая. Качественные окна и входная дверь. Дом газифицирован, предусмотрено автономное газовое отопление. Вы не найдете в Ялте достойной альтернативы оригинальной архитектуре фасадов и просторной светлой парадной, сверкающей чистотой, с высокими натяжными потолками, стены которой облицованы итальянской плиткой. Дополнительный комфорт обеспечивает паркинг под домом, огороженная территория с ландшафтным дизайном.
3-комн. кв., 82 м, 3/4 этаж;https://krym.cian.ru/sale/flat/242735577/;8 800 000 ;Республика КрымЯлтаулица Аверкина2Вк2;"Продам просторную 3-х комнатную квартиру в ЖК Южный Берег в Ялте.
3 этаж 4 этажного дома, панорамный вид на море, Ялту и горы.
Планировка: две отдельные спальни, гостиная, кухня-гостиная, совмещённый санузел, прихожая.
Квартира продаётся вместе с мебелью и техникой.
Центральная часть Ялты, удобный для проживания район, охраняемая территория, детская площадка, тренажёрный зал, парк, супермаркет.
Квартира с пропиской, собственник гражданин РФ, документы готовы."
2-комн. кв., 62 м, 10/10 этаж;https://krym.cian.ru/sale/flat/243371522/;7 490 000 ;Республика КрымЯлтаулица Загородная17В;"ID 1535
Продается квартира с волшебным видом на город, горы и море, в ЖК Дарсан Палас.
Общая площадь 62 кв.м. 
Черновая отделка.
10 этаж из 10.
Закрытая территория ЖК на которой расположены: 2 бассейна, магазин, зона барбекю, детская площадка, стоматология , наземный и подземный паркинги.
Документы РФ. Ипотека возможна.
Цена 7 490 000 рублей.
Звоните !"
3-комн. кв., 80 м, 2/9 этаж;https://krym.cian.ru/sale/flat/243432806/;8 368 811 ;Республика КрымЯлтаулица Горького34;ID:13078. Продается 3-комнатная квартира, расположенную на 2-ом этаже 9-этажного дома, общей площадью 80 кв.м, 3 лоджии. Квартира с ремонтом, полностью готова к проживанию. Тихий, жилой район. Удобна для отдыха и для круглогодичного проживания.
